parameter,unit,2010_prius,ls_600h,camry,2004_prius
motor_power_rating,kW,60,110,70,50
motor_torque_rating,Nm,205,300,270,400
motor_speed_rating,rpm,13500,10230,14000,6000
motor_stator_od,inch,10.39,7.87,10.39,10.59
motor_stack_length,inch,2.0,5.33,2.39,3.3
motor_mass,kg,36.7,44.7,41.7,45.0
motor_volume,L,12.5,16.7,14.8,15.4
motor_sp,kW/kg,1.6,2.46,1.68,1.11
motor_pd,kW/L,4.8,6.59,4.73,3.25
battery_voltage,V,201.6,288,244.8,201.6
max_dc_link_voltage,V,650,650,650,500
boost_converter_power,kW,27,36.5,30,20
filter_capacitor_uF,uF,315,378,378,282
smoothing_capacitor_uF,uF,888,2629,2098,1130
pcu_mass,kg,13.0,17.9,17.86,21.2
pcu_volume,L,16.2,13.7,11.7,17.8
inverter_mass,kg,3.6,7.4,7.5,8.8
inverter_volume,L,5.4,6.4,6,8.7
inverter_sp,kW/kg,16.6,14.9,9.3,5.7
inverter_pd,kW/L,11.1,17.2,11.7,5.7
boost_mass,kg,5.1,6.9,6.6,4.8
boost_volume,L,4.8,4,3.5,5.1
boost_sp,kW/kg,5.3,5.3,4.5,4.2
boost_pd,kW/L,5.6,9.1,8.6,3.9
thermal_path_mm,mm,3.8,,,9.0
