t_oil_nominal_C,speed_rpm,t_oil_actual_C,p_loss_W
28,502,27.0,72.8
28,1000,27.0,170.4
28,1502,27.0,291.1
28,1999,28.0,400.2
28,2501,28.5,534.6
28,2999,29.0,681.0
28,3501,29.0,837.3
28,3999,29.5,997.0
28,4501,30.0,1180.5
28,4999,30.5,1360.7
28,5500,31.5,1565.0
28,6006,32.0,1849.0
40,502,40.5,66.6
40,1000,40.5,152.6
40,1502,40.5,256.7
40,1999,41.0,364.7
40,2501,41.0,490.0
40,2999,41.5,627.4
40,3501,42.0,757.1
40,3999,42.5,925.8
40,4501,43.0,1088.8
40,4999,44.0,1297.1
40,5500,44.5,1481.1
40,6006,45.0,1726.8
50,502,50.0,65.3
50,1000,50.5,152.6
50,1502,51.0,249.0
50,1999,51.5,354.6
50,2501,51.0,470.9
50,2999,51.5,604.4
50,3501,52.0,739.3
50,3999,52.0,874.9
50,4501,52.5,1043.0
50,4999,53.0,1233.5
50,5500,53.5,1425.2
50,6006,54.5,1635.1
60,502,59.5,62.8
60,1000,59.5,139.9
60,1502,60.0,237.5
60,1999,60.0,344.5
60,2501,60.0,458.2
60,2999,60.0,604.4
60,3501,60.0,739.3
60,3999,60.0,874.9
60,4501,60.5,1020.0
60,4999,61.0,1195.4
60,5500,61.5,1397.3
60,6006,62.0,1619.8
70,502,70.0,59.0
70,1000,70.0,139.9
70,1502,70.0,237.5
70,1999,70.0,344.5
70,2501,70.0,451.8
70,2999,69.5,589.1
70,3501,69.5,730.4
70,3999,69.5,844.4
70,4501,70.0,1008.6
70,4999,70.5,1157.2
70,5500,71.0,1341.4
70,6006,71.5,1543.4
80,502,82.5,50.2
80,1000,82.0,111.9
80,1502,80.5,210.7
80,1999,80.5,309.0
80,2501,80.5,420.0
80,2999,81.0,550.9
80,3501,81.0,694.8
80,3999,81.0,834.2
80,4501,81.0,974.2
80,4999,81.5,1119.1
80,5500,82.0,1285.5
80,6006,82.0,1482.3
