speed_rpm,torque_Nm,p_dc_W,p_mech_W,p_ac_W,eta_inverter,eta_motor,eta_total,v_dc_V,i_dc_A,v_ac_V,i_ac_A,t_stator_C
297,269.7,15145,8398,13572,0.896,0.619,0.555,498.1,46.72,212.3,129.8,192.9
300,202.6,9665,6372,8522,0.882,0.748,0.660,498.2,28.57,211.3,97.8,69.9
300,249.2,13338,7838,11938,0.895,0.657,0.588,498.1,40.92,212.3,121.1,149.9
301,257.1,14086,8118,12647,0.898,0.642,0.576,498.1,44.21,212.2,123.1,172.1
302,179.2,8893,5685,8034,0.903,0.708,0.639,504.0,21.32,108.0,87.3,163.2
302,231.4,12120,7324,10778,0.889,0.680,0.604,498.2,38.13,212.4,114.1,108.0
303,20.2,891,642,769,0.863,0.836,0.721,503.9,3.68,81.7,14.8,58.6
303,30.2,1295,960,1123,0.867,0.855,0.741,504.1,4.29,82.7,19.9,91.2
303,59.8,2544,1903,2257,0.887,0.843,0.748,504.0,6.67,89.1,33.7,85.5
303,109.5,4810,3487,4342,0.903,0.803,0.725,504.1,11.51,99.1,54.9,99.6
303,119.4,5337,3802,4827,0.904,0.788,0.712,504.1,13.01,101.1,59.2,106.9
303,150.2,6978,4773,6318,0.905,0.756,0.684,504.1,16.57,104.7,73.0,124.5
303,169.4,8142,5391,7374,0.906,0.731,0.662,504.1,19.38,107.0,82.1,141.8
303,188.4,9664,5998,8770,0.907,0.684,0.621,504.0,23.32,110.4,92.9,179.9
303,209.2,10499,6638,9246,0.881,0.718,0.632,498.3,31.91,211.9,103.7,88.5
303,219.4,10976,6978,9772,0.890,0.714,0.636,498.2,34.96,211.6,105.9,76.8
304,40.0,1696,1272,1491,0.879,0.853,0.750,504.0,4.97,83.8,24.7,85.8
304,50.2,2138,1600,1895,0.887,0.844,0.748,504.0,5.81,86.6,29.5,85.1
304,71.0,3021,2266,2707,0.896,0.837,0.750,504.0,7.70,92.0,38.5,87.4
304,89.1,3846,2842,3463,0.901,0.821,0.739,504.0,9.26,95.9,46.1,94.5
304,158.5,7547,5054,6828,0.905,0.740,0.670,504.1,18.15,105.8,77.2,131.9
304,238.4,12556,7594,11218,0.893,0.677,0.605,498.1,37.98,211.9,114.0,134.5
305,80.0,3443,2557,3088,0.897,0.828,0.743,504.0,8.52,93.2,42.5,92.0
305,130.3,5875,4163,5305,0.903,0.785,0.709,504.1,14.10,102.3,63.8,111.5
305,138.8,6400,4442,5786,0.904,0.768,0.694,504.1,15.45,104.2,68.5,114.9
306,99.3,4309,3184,3878,0.900,0.821,0.739,504.0,10.42,97.7,50.4,96.2
468,369.3,26103,18140,25848,0.990,0.702,0.695,504.9,124.49,224.1,189.2,162.7
485,325.9,24527,16585,23082,0.941,0.719,0.676,504.5,83.46,220.1,160.8,103.5
492,351.3,27133,18113,26483,0.976,0.684,0.668,504.4,109.10,222.1,180.7,140.2
497,357.5,27471,18613,27186,0.990,0.685,0.678,504.5,122.60,223.9,185.3,195.7
499,280.3,20250,14669,18914,0.934,0.776,0.724,499.8,43.51,215.9,134.2,64.3
500,308.2,24962,16161,22956,0.920,0.704,0.647,499.9,68.27,217.5,154.1,129.1
501,178.5,12653,9379,11821,0.934,0.794,0.741,504.0,27.60,128.9,86.8,165.8
501,208.6,15604,10963,14566,0.933,0.753,0.703,504.0,35.14,133.7,103.7,164.9
501,295.0,22465,15478,20946,0.932,0.739,0.689,500.0,50.40,216.6,143.8,86.4
502,70.0,4517,3686,4205,0.931,0.877,0.816,504.1,10.35,109.0,38.2,78.2
502,79.6,5171,4190,4818,0.932,0.870,0.810,504.1,11.68,111.3,42.4,82.1
502,188.8,13772,9936,12886,0.936,0.771,0.721,503.9,30.56,131.1,93.0,179.7
