v_ll_V,torque_Nm,speed_rpm,p_mech_W,p_elec_W,efficiency,i_a_A,pf,t_winding_C,t_oil_C
85,0,900,0,130,,3.5,,29.6,27.8
85,10,900,942,1030,0.92,7.3,0.96,35.3,34.1
90,20,900,1885,2030,0.93,13.3,0.98,37,35.1
100,30,900,2827,3000,0.94,18.8,0.92,39.5,36.9
105,40,900,3770,4020,0.94,23.9,0.93,41.7,38
115,50,900,4712,5030,0.94,28.5,0.89,45.9,41.6
120,60,900,5655,6070,0.93,33,0.89,48.7,43.1
130,70,900,6597,7070,0.93,37.3,0.84,56.2,49.7
130,80,900,7540,8090,0.93,41.6,0.86,61.2,52.5
135,90,900,8482,9130,0.93,45.7,0.86,68.0,58
140,100,900,9425,10190,0.92,50.1,0.84,73.9,60.8
150,110,900,10367,11260,0.92,54.5,0.80,83.2,68.2
150,120,900,11310,12310,0.92,58.7,0.81,92.7,75.1
150,130,900,12252,13440,0.91,63.2,0.82,101.8,80.4
155,140,900,13195,14560,0.91,67.6,0.80,109.7,84.4
160,150,900,14137,15710,0.90,72.3,0.79,120.8,91.2
165,160,900,15080,16910,0.89,77.1,0.77,136.8,101.2
165,170,900,16022,18180,0.88,82.4,0.77,159.2,115.5
